author_sort,authors,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,#已读,uuid
"Schember, John","John Schember","Size ne resim, video, dahil - - ​​Bir EPUB için tüm içeriği içeren tek bir HTML dosyası üretmek birlikte Readk.it okuma sistemi ile. Bu dosya e-posta yoluyla kullanıcılara dağıtılan, ve sonra varsayılan tarayıcı açmak için çift tıklayarak çevrimdışı okunabilir. Readk.it Solo örnekleri olabilir buradan indirebilirsiniz","/Users/zxy/Calibre Library/John Schember/Calibre Quick Start Guide (1)/cover.jpg","2020-10-24T16:37:26+08:00","epub","","1","google:TcriBQAAQBAJ","eng","Calibre Library","0101-01-01T08:00:00+08:00","","","","1.0","55552","","Calibre Quick Start Guide","Calibre Quick Start Guide","","a887a205-f175-4453-87d9-79947f56faad"
"Baehr, Mathias","Mathias Baehr","","/Users/zxy/Calibre Library/Mathias Baehr/Duus Topical Diagnosis in Neurology Anatomy Physiology SignsSymptoms (2)/cover.jpg","2020-10-30T23:55:26+08:00","pdf","","2","","eng","Calibre Library","2012-07-24T22:54:00+08:00","Thieme Medical Publishing Inc.","","","1.0","40883817","Neurology, Neurosurgery","Duus Topical Diagnosis in Neurology Anatomy Physiology SignsSymptoms","Duus Topical Diagnosis in Neurology Anatomy Physiology SignsSymptoms","","0a941c0a-0967-4089-9316-66ac3040ea38"
"Borden, Neil M.","Neil M. Borden","The 3D Angiographic Atlas of Neurovascular Anatomy and Pathology is the first atlas to present neurovascular information and images based on catheter 3D rotational angiographic studies. The images in this book are the culmination of work done by Neil M. Borden over several years using one of the first 3D neurovascular angiographic suites in the United States. With the aid of this revolutionary technology, Dr Borden has performed numerous diagnostic neurovascular angiographic studies as well as endovascular neurosurgical procedures. The spectacular 3D images he obtained are extensively labeled and juxtaposed with conventional 2D angiograms for orientation and comparison. Anatomical color drawings and concise descriptions of the major intracranial vascular territories further enhance understanding of the complex cerebral vasculature.","/Users/zxy/Calibre Library/Neil M. Borden/3D Angiographic Atlas of Neurovascular Anatomy and Pathology (3)/cover.jpg","2020-10-30T23:55:46+08:00","pdf","9781139460170","3","google:pJkqOPJG7esC,isbn:9781139460170","eng","Calibre Library","2006-12-05T00:11:49+08:00","Cambridge University Press","","","1.0","15333498","Allied Health Services, Imaging Technologies, Medical, Neurology, Neurosurgery, Pathology, Surgery","3D Angiographic Atlas of Neurovascular Anatomy and Pathology","3D Angiographic Atlas of Neurovascular Anatomy and Pathology","","73586134-1e56-4130-91ff-e4f8521e7108"
"Rhoton, Albert L.","Albert L. Rhoton","Book is divided into three sections. The first section reviews micro-operative techniques and instrument selection. The second section deals with the microsurgical anatomy and approaches to the supratentorial area and anterior cranial base, and includes chapters on aneurysms, the lateral and third ventricles, cavernous sinus and sella. The third section deals with anatomy and approaches to the posterior cranial fossa and posterior cranial base, and includes chapters on the fourth ventricle, tentorial incisura, foramen magnum, temporal bone and jugular foramen. This book originally appeared as a supplement to the journal ""Neurosurgery.""","/Users/zxy/Calibre Library/Albert L. Rhoton/Cranial Anatomy and Surgical Approaches (4)/cover.jpg","2020-10-30T23:56:01+08:00","pdf","9780781793414","4","isbn:9780781793414,google:ERKbHwAACAAJ","eng","Calibre Library","2003-10-16T00:11:07+08:00","Lippincott Williams & Wilkins","","","1.0","455512768","Medical, Neurosurgery, Surgery, 神经外科, 手术","Cranial Anatomy and Surgical Approaches","Cranial Anatomy and Surgical Approaches","","deae498c-4e67-4413-abf3-93e978bc4a13"
"Rhoton, Albert L.","Albert L. Rhoton","","/Users/zxy/Calibre Library/Albert L. Rhoton/RHOTON_Lu Nao Jie Pou Ji Shou Zhu Ru Lu (5)/cover.jpg","2020-10-30T23:56:47+08:00","pdf","","5","","zho","Calibre Library","0101-01-01T08:00:00+08:00","中国科学技术出版社","","","1.0","427812629","Surgery, Neurosurgery, Medical","RHOTON·颅脑解剖及手术入路","RHOTON·颅脑解剖及手术入路","","2831cc6a-f1f2-4c7a-8683-8d71c8a5b0da"
"刘宗惠，徐霓霓译, （德）巴哈，（德）弗朗斯特，（德）库克著","（德）巴哈，（德）弗朗斯特，（德）库克著 刘宗惠，徐霓霓译","","/Users/zxy/Calibre Library/(De )Ba Ha ,(De )Fu Lang Si Te ,(De )Ku Ke Zhu  Liu Zong Hui ,Xu Ni Ni Yi/Duus'sShen Jing Xi Tong Ji Bing Ding Wei Zhen Duan Xue (6)/cover.jpg","2020-10-30T23:58:43+08:00","pdf","","6","","","Calibre Library","0101-01-01T08:00:00+08:00","","","","1.0","73647753","","Duus's神经系统疾病定位诊断学","Duus's神经系统疾病定位诊断学","","32f359e1-6fef-41c5-8410-016c0b8df61a"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/Nao Xie Guan Jie Pou Ji Bing Li San Wei Xie Guan Zao Ying Tu Pu (7)/cover.jpg","2020-10-31T00:11:18+08:00","pdf","","7","","","Calibre Library","2010-06-28T12:44:50+08:00","","","","1.0","25608956","","脑血管解剖及病理三维血管造影图谱","脑血管解剖及病理三维血管造影图谱","","028430cc-cf75-4b9a-8b55-57faef826536"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/Diagnostic Imaging Brain 2nd (8)/cover.jpg","2020-10-31T00:11:35+08:00","pdf","","8","","","Calibre Library","2010-05-11T22:31:46+08:00","","","","1.0","267088728","","Diagnostic Imaging Brain 2nd","Diagnostic Imaging Brain 2nd","","b2ffdcdd-d4f1-40d9-a99e-b4010feffc49"
"Greenberg, Mark S.","Mark S. Greenberg","","/Users/zxy/Calibre Library/Mark S. Greenberg/Handbook of Neurosurgery 8 (9)/cover.jpg","2020-10-31T00:11:45+08:00","pdf","","9","","eng","Calibre Library","2016-05-05T19:28:20+08:00","Thieme Medical Publishing Inc.","","","1.0","60426164","handbook, Neurosurgery, 神经外科","Handbook of Neurosurgery 8","Handbook of Neurosurgery 8","","b563b86b-03db-4c0e-9678-937d45b919ee"
"刘未鹏","刘未鹏","","/Users/zxy/Calibre Library/Liu Wei Peng/An Shi Jian (10)/cover.jpg","2020-11-02T13:07:45+08:00","epub","","10","unknown:unknown","eng","Calibre Library","2014-09-06T00:00:00+08:00","木书架","","","1.0","2143358","","暗时间","暗时间","","e4bab69b-0101-49e7-850f-f0a9f70c96ad"
"Unknown","Unknown","","","2020-11-02T13:07:49+08:00","txt, zip","","14","","eng","Calibre Library","0101-01-01T08:00:00+08:00","","","","1.0","103141","","编程随想的电子书清单","编程随想的电子书清单","","1ebed1d2-13ea-45f6-acf3-5fb632da4a43"
"klsh","klsh","","/Users/zxy/Calibre Library/klsh/SSReader Print_ (15)/cover.jpg","2020-11-02T13:07:57+08:00","pdf","","15","","","Calibre Library","2005-08-04T15:28:01+08:00","","","","1.0","18669879","","SSReader Print.","SSReader Print.","","1a83fb4d-1788-4495-95b2-f6d897b403f8"
"郭家宏","郭家宏","[从旧帝国到新帝国：1783-1815年英帝国史纲要].郭家宏.扫描版","/Users/zxy/Calibre Library/Guo Jia Hong/Cong Jiu Di Guo Dao Xin Di Guo _1783-1815Nian Ying Di Guo Shi Gang Yao (16)/cover.jpg","2020-11-02T13:07:58+08:00","pdf","","16","","","Calibre Library","2010-09-11T11:58:06+08:00","","","","1.0","33726161","他以狗为伴","从旧帝国到新帝国：1783-1815年英帝国史纲要","从旧帝国到新帝国：1783-1815年英帝国史纲要","","1fc0d378-f700-4390-9579-3343e40e6e47"
"吴军","吴军","","/Users/zxy/Calibre Library/Wu Jun/Lang Chao Zhi Dian (17)/cover.jpg","2020-11-02T13:07:59+08:00","chm, epub, mobi, pdf","","17","mobi-asin:736e30fc-8e45-40d0-83de-a37e188cf389","zho","Calibre Library","2011-08-26T00:00:00+08:00","","","","1.0","71874324","ibook.178.com","浪潮之巅","浪潮之巅","","47e5fe21-95c8-4c50-9e9c-a3a31c33c81b"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/Di 4Juan (18)/cover.jpg","2020-11-02T13:08:02+08:00","pdf","","18","","","Calibre Library","2006-06-01T21:01:27+08:00","","","","1.0","11918410","","第4卷","第4卷","","ce4af277-c28d-4db6-9f6a-4fa376093054"
"Manchester, William","William Manchester","","/Users/zxy/Calibre Library/William Manchester/The Glory and the Dream_ A Narrative History of America, 1932-1972 (19)/cover.jpg","2020-11-02T13:08:03+08:00","epub, pdf, txt","9780795335570","19","isbn:9780795335570","eng","Calibre Library","2013-11-15T00:00:00+08:00","RosettaBooks, LLC","","","1.0","14985912","","The Glory and the Dream: A Narrative History of America, 1932–1972","Glory and the Dream: A Narrative History of America, 1932–1972, The","","2ea6f159-ff00-4056-a079-767f2a582bc5"
"Hirst）, 约翰·赫斯特（John","约翰·赫斯特（John Hirst）","《你一定爱读的极简欧洲史:为什么欧洲对现代文明的影响这么深》有以下看点：  
1.《你一定爱读的极简欧洲史:为什么欧洲对现代文明的影响这么深》是一部“最短”的欧洲史。它以极简练的文字，却从不同的角度，把欧洲历史的精要述说透彻！ 雅典的民主、罗马的共和，差别在哪里？蛮族入侵是如何发生？中古时期的政教之争到底争什么东西？罗伯斯庇尔时期的法国为什么叫“美德共和国”？——所有这些问题的答案，《你一定爱读的极简欧洲史:为什么欧洲对现代文明的影响这么深》将以非常轻松的方式告诉你。  
2\. 有很长一段时间，中国文明要比欧洲文明进步，然而世上第一波稳健的经济发展首度发生在欧洲，工业革命继之而起，其他许多代表现代的标记也是发轫于欧洲。《你一定爱读的极简欧洲史:为什么欧洲对现代文明的影响这么深》将以令人信服的方式为你解答：为什么欧洲对现代文明的影响这么深？  
3.《你一定爱读的极简欧洲史:为什么欧洲对现代文明的影响这么深》热销欧美，中文繁体版2010年4月出版，即跃居台湾诚品连锁书店、金石堂连锁书店、博客来网络书店畅销榜Top10超过半年。
","/Users/zxy/Calibre Library/Yue Han _He Si Te (John Hirst)/Ni Yi Ding Ai Du De Ji Jian Ou Zhou Shi _Wei Shi Yao Ou Zhou Dui Xian Dai Wen Ming De Ying Xiang (20)/cover.jpg","2020-11-02T13:08:08+08:00","epub, mobi, pdf","9781906964696","20","isbn:9781906964696,mobi-asin:294fbfb6-7d48-460d-bc32-78b85b59374d","zho","Calibre Library","2013-04-10T00:00:00+08:00","epub掌上书苑","","","1.0","28413364","历史军事","你一定爱读的极简欧洲史：为什么欧洲对现代文明的影响这么深","你一定爱读的极简欧洲史：为什么欧洲对现代文明的影响这么深","","130dee1d-ec4d-4774-89d5-ac17e1da7206"
"Dower, John W.","John W. Dower","<p>Winner of the Pulitzer Prize, the 1999 National Book Award for Nonfiction, finalist for the Lionel Gelber Prize and the Kiriyama Pacific Rim Book Prize, <i>Embracing Defeat</i> is John W. Dower's brilliant examination of Japan in the immediate, shattering aftermath of World War II.Drawing on a vast range of Japanese sources and illustrated with dozens of astonishing documentary photographs, <i>Embracing Defeat</i> is the fullest and most important history of the more than six years of American occupation, which affected every level of Japanese society, often in ways neither side could anticipate. Dower, whom Stephen E. Ambrose has called ""America's foremost historian of the Second World War in the Pacific,"" gives us the rich and turbulent interplay between West and East, the victor and the vanquished, in a way never before attempted, from top-level manipulations concerning the fate of Emperor Hirohito to the hopes and fears of men and women in every walk of life. Already...","/Users/zxy/Calibre Library/John W. Dower/Embracing Defeat (21)/cover.jpg","2020-11-02T13:08:13+08:00","epub, pdf","","21","","eng","Calibre Library","2014-07-16T00:00:00+08:00","W. W. Norton & Company","","","1.0","30935114","","Embracing Defeat","Embracing Defeat","","1fb3a1c3-ffa4-4429-b139-1282e388e2c7"
"Nagorski, Andrew","Andrew Nagorski","","/Users/zxy/Calibre Library/Andrew Nagorski/Hitlerland (22)/cover.jpg","2020-11-02T13:08:20+08:00","epub, mobi, pdf, txt","","22","mobi-asin:0c0c103a-d9ce-4e04-8d24-3d2fb95eebf1","eng","Calibre Library","2012-03-13T07:00:00+08:00","Simon & Schuster, Inc.","","","1.0","16865283","http://scatkevin.taobao.com, -=诸记藏书·仅供试读·Scatkevin制作·VeryCD首发=-","Hitlerland","Hitlerland","","9a043766-bead-4047-a1c1-acaa3f3df0ad"
"Unknown","Unknown","","/Users/zxy/Calibre Library/Unknown/Fu Lu  Guan Yu Luo Ma Ren De Er Shi Ge Wen Ti (23)/cover.jpg","2020-11-02T13:08:22+08:00","pdf","","23","","","Calibre Library","2010-10-20T20:58:59+08:00","","","","1.0","14827880","","附錄 關於羅馬人的二十個問題","附錄 關於羅馬人的二十個問題","","bfdb95a8-95c8-41e8-9b93-4d9cea7022bf"
"Administrator","Administrator","","/Users/zxy/Calibre Library/Administrator/Luo Ma Di Guo Shuai Wang Shi 6 (24)/cover.jpg","2020-11-02T13:08:22+08:00","pdf","","24","","","Calibre Library","2010-05-17T23:55:10+08:00","","","","1.0","34355618","","罗马帝国衰亡史6","罗马帝国衰亡史6","","9fc5132b-0d10-41cf-aeb5-e41e0968d9c3"
"no name","炎黄春秋出版社","","/Users/zxy/Calibre Library/Yan Huang Chun Qiu Chu Ban She/Yan Huang Chun Qiu 2003Nian He Ding Ben (25)/cover.jpg","2020-11-02T13:08:23+08:00","epub","","25","","eng","Calibre Library","2010-11-15T00:00:00+08:00","EasyPub by lucida","","","1.0","3598996","","炎黄春秋2003年合订本","炎黄春秋2003年合订本","","791773f2-ab89-4a92-aa9a-18035ba3ee86"
